id,sku,product_name,category,size,color,price,stock_quantity,supplier
1,JUP-ACC-0001,Cinto de couro,accessory,U,marinho,90.97,15,Malharia Aurora
2,JUP-DRESS-0002,Vestido midi,dress,G,cinza,193.11,77,Importadora Andes
3,JUP-PANTS-0003,Legging,pants,M,preto,221.96,170,Confecções Bela Vista
4,JUP-SHIRT-0004,Camiseta estampada,shirt,PP,bege,71.16,190,Fios & Cia
5,JUP-SHOES-0005,Tênis casual,shoes,41,vinho,361.98,94,Confecções Bela Vista
6,JUP-ACC-0006,Carteira,accessory,U,azul,85.35,26,Confecções Bela Vista
7,JUP-JACK-0007,Jaqueta corta-vento,jacket,M,marinho,155.13,176,Importadora Andes
8,JUP-JACK-0008,Blazer,jacket,PP,verde,178.57,59,Confecções Bela Vista
9,JUP-ACC-0009,Carteira,accessory,U,vermelho,44.82,40,Malharia Aurora
10,JUP-SHIRT-0010,Camiseta estampada,shirt,PP,marinho,131.76,139,Têxtil Sul Ltda
11,JUP-DRESS-0011,Vestido midi,dress,GG,vinho,194.08,46,Malharia Aurora
12,JUP-SHOES-0012,Sandália,shoes,38,preto,258.35,178,Malharia Aurora
13,JUP-ACC-0013,Cachecol,accessory,U,verde,102.66,119,Malharia Aurora
14,JUP-JACK-0014,Moletom com capuz,jacket,M,vermelho,229.22,151,Importadora Andes
15,JUP-PANTS-0015,Bermuda,pants,M,marinho,174.84,46,Malharia Aurora
16,JUP-SHOES-0016,Bota,shoes,38,preto,352.78,100,Fios & Cia
17,JUP-ACC-0017,Cachecol,accessory,U,branco,51.26,200,Malharia Aurora
18,JUP-SHIRT-0018,Camisa social,shirt,GG,bege,49.99,61,Importadora Andes
19,JUP-SHOES-0019,Sandália,shoes,36,preto,252.45,100,Malharia Aurora
20,JUP-PANTS-0020,Calça moletom,pants,PP,vermelho,84.97,30,Confecções Bela Vista
21,JUP-SHOES-0021,Tênis casual,shoes,38,verde,466.03,125,Malharia Aurora
22,JUP-DRESS-0022,Saia plissada,dress,G,vinho,101.21,25,Têxtil Sul Ltda
23,JUP-SHIRT-0023,Camiseta estampada,shirt,P,vinho,97.95,33,Confecções Bela Vista
24,JUP-SHIRT-0024,Camiseta básica,shirt,PP,vermelho,86.08,164,Importadora Andes
25,JUP-SHIRT-0025,Camiseta estampada,shirt,G,marinho,41.71,136,Fios & Cia
26,JUP-SHIRT-0026,Polo,shirt,P,bege,40.07,95,Malharia Aurora
27,JUP-JACK-0027,Jaqueta jeans,jacket,P,marinho,393.06,22,Fios & Cia
28,JUP-JACK-0028,Colete,jacket,GG,preto,235.32,125,Têxtil Sul Ltda
29,JUP-JACK-0029,Blazer,jacket,M,preto,226.32,22,Confecções Bela Vista
30,JUP-SHIRT-0030,Camiseta estampada,shirt,PP,cinza,54.58,95,Fios & Cia
31,JUP-PANTS-0031,Bermuda,pants,P,rosa,193.61,39,Têxtil Sul Ltda
32,JUP-DRESS-0032,Vestido floral,dress,G,verde,150.30,56,Têxtil Sul Ltda
33,JUP-PANTS-0033,Legging,pants,M,bege,257.94,144,Importadora Andes
34,JUP-SHIRT-0034,Polo,shirt,P,cinza,134.74,17,Confecções Bela Vista
35,JUP-SHIRT-0035,Regata,shirt,M,bege,121.66,103,Confecções Bela Vista
36,JUP-ACC-0036,Carteira,accessory,U,rosa,60.31,137,Confecções Bela Vista
37,JUP-SHOES-0037,Tênis casual,shoes,42,bege,336.91,51,Fios & Cia
