id,sku,name,category,brand,price,stock_quantity,rating,released_year
1,SAT-ACC-0001,Dunlop Capotraste,accessory,Dunlop,446.48,43,3.4,2015
2,SAT-BAS-0002,Yamaha Jazz Bass,bass,Yamaha,6897.12,51,4.0,2024
3,SAT-WIN-0003,Yamaha Trompete,wind,Yamaha,2363.74,72,4.9,2016
4,SAT-ACC-0004,D'Addario Cabo P10,accessory,D'Addario,695.07,77,4.2,2024
5,SAT-BAS-0005,Yamaha SR,bass,Yamaha,7432.73,38,4.7,2021
6,SAT-BAS-0006,Fender Jazz Bass,bass,Fender,7675.06,26,4.3,2019
7,SAT-WIN-0007,Yamaha Trompete,wind,Yamaha,2555.75,9,3.3,2021
8,SAT-KEY-0008,Casio Krome,keyboard,Casio,2326.40,36,4.4,2022
9,SAT-GTR-0009,Gibson Telecaster,guitar,Gibson,7408.71,80,4.2,2018
10,SAT-KEY-0010,Roland FP-30X,keyboard,Roland,11084.11,18,3.1,2017
11,SAT-ACC-0011,Dunlop Capotraste,accessory,Dunlop,138.19,38,4.4,2019
12,SAT-DRU-0012,Yamaha Stage Custom,drums,Yamaha,3505.52,5,4.8,2020
13,SAT-WIN-0013,Yamaha Sax Alto,wind,Yamaha,2985.61,73,4.2,2015
14,SAT-ACC-0014,Dunlop Cabo P10,accessory,Dunlop,65.00,22,3.9,2025
15,SAT-KEY-0015,Korg FP-30X,keyboard,Korg,11969.45,55,4.3,2022
16,SAT-ACC-0016,Fender Afinador,accessory,Fender,385.26,41,4.3,2017
17,SAT-KEY-0017,Casio Krome,keyboard,Casio,8625.84,51,4.6,2023
18,SAT-GTR-0018,Fender Telecaster,guitar,Fender,3392.99,14,4.9,2021
19,SAT-ACC-0019,D'Addario Cabo P10,accessory,D'Addario,431.92,6,3.4,2020
20,SAT-WIN-0020,Selmer Flauta Transversal,wind,Selmer,7127.93,26,3.5,2017
21,SAT-ACC-0021,Fender Capotraste,accessory,Fender,135.64,80,4.2,2018
22,SAT-ACC-0022,Dunlop Cabo P10,accessory,Dunlop,41.90,52,3.2,2016
23,SAT-KEY-0023,Yamaha FP-30X,keyboard,Yamaha,6983.76,37,4.0,2019
24,SAT-KEY-0024,Casio Privia,keyboard,Casio,4437.31,70,3.3,2018
25,SAT-ACC-0025,Boss Encordoamento,accessory,Boss,270.34,53,3.7,2023
26,SAT-BAS-0026,Fender StingRay,bass,Fender,6301.52,75,4.2,2025
27,SAT-DRU-0027,Tama Stage Custom,drums,Tama,9232.26,44,3.7,2023
28,SAT-KEY-0028,Korg FP-30X,keyboard,Korg,11807.75,30,4.1,2018
29,SAT-ACC-0029,Fender Encordoamento,accessory,Fender,306.81,60,4.4,2021
30,SAT-KEY-0030,Roland Privia,keyboard,Roland,11648.24,16,4.0,2024
31,SAT-KEY-0031,Yamaha Privia,keyboard,Yamaha,2997.12,58,3.0,2017
32,SAT-KEY-0032,Roland P-125,keyboard,Roland,6694.91,33,3.7,2021
33,SAT-WIN-0033,Selmer Flauta Transversal,wind,Selmer,8642.29,80,4.4,2022
34,SAT-ACC-0034,D'Addario Cabo P10,accessory,D'Addario,89.53,80,4.4,2019
35,SAT-ACC-0035,D'Addario Capotraste,accessory,D'Addario,881.15,12,3.9,2019
36,SAT-ACC-0036,D'Addario Afinador,accessory,D'Addario,722.64,37,3.7,2021
37,SAT-GTR-0037,Epiphone RG,guitar,Epiphone,5744.46,23,3.3,2016
38,SAT-WIN-0038,Selmer Trompete,wind,Selmer,5081.80,74,3.3,2022
39,SAT-WIN-0039,Selmer Clarinete,wind,Selmer,6401.36,59,4.8,2025
40,SAT-DRU-0040,Pearl Stage Custom,drums,Pearl,14315.45,75,3.6,2021
41,SAT-WIN-0041,Selmer Clarinete,wind,Selmer,2753.89,49,4.7,2016
42,SAT-BAS-0042,Ibanez StingRay,bass,Ibanez,7954.69,37,3.0,2025
43,SAT-KEY-0043,Yamaha P-125,keyboard,Yamaha,11106.17,63,4.7,2019
44,SAT-ACC-0044,Boss Cabo P10,accessory,Boss,727.68,28,4.3,2024
45,SAT-BAS-0045,Music Man Jazz Bass,bass,Music Man,7401.10,5,3.6,2022
46,SAT-GTR-0046,Ibanez Les Paul,guitar,Ibanez,2176.00,37,3.7,2021
47,SAT-GTR-0047,Gibson SG,guitar,Gibson,8073.45,46,4.1,2019
48,SAT-ACC-0048,Dunlop Capotraste,accessory,Dunlop,871.62,37,4.5,2020
49,SAT-ACC-0049,Fender Encordoamento,accessory,Fender,152.46,28,4.7,2025
50,SAT-ACC-0050,Dunlop Encordoamento,accessory,Dunlop,717.89,1,3.5,2016
51,SAT-KEY-0051,Korg Privia,keyboard,Korg,10224.17,47,3.2,2018
52,SAT-DRU-0052,Mapex Imperialstar,drums,Mapex,10595.65,59,4.8,2019
53,SAT-WIN-0053,Yamaha Trompete,wind,Yamaha,1553.71,4,3.6,2022
54,SAT-GTR-0054,Gibson SG,guitar,Gibson,2517.48,58,3.7,2023
55,SAT-KEY-0055,Roland Privia,keyboard,Roland,8549.22,62,4.2,2019
56,SAT-GTR-0056,Ibanez Les Paul,guitar,Ibanez,4825.37,30,4.7,2016
57,SAT-ACC-0057,Dunlop Cabo P10,accessory,Dunlop,814.48,45,3.1,2019
58,SAT-GTR-0058,Fender RG,guitar,Fender,2187.55,27,4.3,2024
59,SAT-ACC-0059,D'Addario Afinador,accessory,D'Addario,241.90,16,4.6,2018
60,SAT-GTR-0060,Epiphone Les Paul,guitar,Epiphone,5897.87,29,3.7,2017
61,SAT-ACC-0061,D'Addario Afinador,accessory,D'Addario,776.81,18,5.0,2023
62,SAT-BAS-0062,Music Man Jazz Bass,bass,Music Man,5898.56,3,3.3,2020
63,SAT-ACC-0063,Boss Cabo P10,accessory,Boss,311.68,22,3.5,2017
64,SAT-ACC-0064,D'Addario Encordoamento,accessory,D'Addario,444.33,46,4.0,2016
65,SAT-KEY-0065,Roland P-125,keyboard,Roland,9272.43,66,3.6,2025
66,SAT-ACC-0066,D'Addario Capotraste,accessory,D'Addario,767.15,54,4.4,2022
67,SAT-ACC-0067,Fender Encordoamento,accessory,Fender,812.36,41,4.2,2016
68,SAT-GTR-0068,Epiphone SG,guitar,Epiphone,5612.67,41,3.8,2024
69,SAT-DRU-0069,Yamaha Stage Custom,drums,Yamaha,3739.73,14,4.7,2025
70,SAT-ACC-0070,Boss Capotraste,accessory,Boss,422.85,29,3.8,2022
71,SAT-KEY-0071,Yamaha Krome,keyboard,Yamaha,6267.64,32,3.7,2017
72,SAT-WIN-0072,Selmer Sax Alto,wind,Selmer,1911.55,10,3.2,2016
73,SAT-ACC-0073,Dunlop Pedal Distortion,accessory,Dunlop,514.04,75,4.9,2023
74,SAT-KEY-0074,Yamaha Privia,keyboard,Yamaha,5535.98,54,4.7,2015
75,SAT-ACC-0075,Dunlop Afinador,accessory,Dunlop,120.13,64,3.4,2025
76,SAT-DRU-0076,Pearl Armory,drums,Pearl,13067.17,47,3.2,2019
77,SAT-DRU-0077,Yamaha Export,drums,Yamaha,10112.44,34,3.1,2019
78,SAT-ACC-0078,Dunlop Afinador,accessory,Dunlop,335.39,23,4.7,2024
79,SAT-WIN-0079,Yamaha Trompete,wind,Yamaha,6979.56,3,3.2,2023
80,SAT-BAS-0080,Yamaha SR,bass,Yamaha,3913.56,47,3.6,2020
81,SAT-ACC-0081,D'Addario Encordoamento,accessory,D'Addario,165.35,79,3.1,2016
82,SAT-BAS-0082,Yamaha SR,bass,Yamaha,5563.87,53,3.5,2023
83,SAT-GTR-0083,PRS Stratocaster,guitar,PRS,3624.35,75,4.0,2025
84,SAT-BAS-0084,Music Man SR,bass,Music Man,7903.56,7,3.0,2019
85,SAT-ACC-0085,Boss Afinador,accessory,Boss,281.82,15,3.0,2021
86,SAT-GTR-0086,PRS SG,guitar,PRS,6777.53,64,4.1,2025
87,SAT-ACC-0087,D'Addario Capotraste,accessory,D'Addario,779.73,5,3.9,2022
88,SAT-ACC-0088,Dunlop Cabo P10,accessory,Dunlop,403.48,51,4.4,2021
89,SAT-BAS-0089,Yamaha Jazz Bass,bass,Yamaha,7790.44,21,4.6,2024
90,SAT-KEY-0090,Korg P-125,keyboard,Korg,6367.12,13,3.5,2024
91,SAT-KEY-0091,Yamaha Privia,keyboard,Yamaha,10705.24,43,3.4,2017
92,SAT-GTR-0092,Fender SG,guitar,Fender,5324.64,44,3.7,2025
93,SAT-ACC-0093,Boss Encordoamento,accessory,Boss,157.41,25,3.3,2017
94,SAT-ACC-0094,D'Addario Pedal Distortion,accessory,D'Addario,857.62,80,4.0,2024
95,SAT-ACC-0095,Fender Cabo P10,accessory,Fender,589.40,79,3.6,2025
96,SAT-BAS-0096,Yamaha Jazz Bass,bass,Yamaha,4707.31,80,3.6,2019
97,SAT-WIN-0097,Selmer Sax Alto,wind,Selmer,3621.18,57,3.1,2020
98,SAT-ACC-0098,D'Addario Encordoamento,accessory,D'Addario,565.06,64,3.8,2024
99,SAT-DRU-0099,Pearl Stage Custom,drums,Pearl,13863.12,73,4.3,2020
100,SAT-WIN-0100,Jupiter Trompete,wind,Jupiter,8670.23,57,3.2,2020
